ID,Severity,Category,File,Line,CWE,Message,Status
SEMGREP-001,WARNING,controller-missing-validation,src/main/java/com/bacnet/emulator/controller/ApiController.java,214,CWE-20: Improper Input Validation,REST controller endpoint missing @Valid annotation - input validation may be insufficient,Open
SEMGREP-002,WARNING,controller-missing-validation,src/main/java/com/bacnet/emulator/controller/ApiController.java,236,CWE-20: Improper Input Validation,REST controller endpoint missing @Valid annotation - input validation may be insufficient,Open
SEMGREP-003,WARNING,unbounded-executor-service,src/main/java/com/bacnet/emulator/service/BacnetService.java,73,CWE-400: Uncontrolled Resource Consumption,Thread pool without resource limits - potential DoS via thread exhaustion,Open
SEMGREP-004,INFO,fixed-buffer-size-packet,src/main/java/com/bacnet/emulator/service/BacnetService.java,118,CWE-120: Buffer Copy without Checking Size of Input,Fixed-size buffer for packet handling - verify it matches protocol specification,Open
SEMGREP-005,WARNING,unsafe-array-access-no-bounds-check,src/main/java/com/bacnet/emulator/service/BacnetService.java,146,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,Array access without bounds checking - potential ArrayIndexOutOfBoundsException or buffer overflow,Open
SEMGREP-006,ERROR,bacnet-unsafe-byte-parsing,src/main/java/com/bacnet/emulator/service/BacnetService.java,146,CWE-125: Out-of-bounds Read,Unsafe byte array parsing in BACnet protocol handler - missing bounds check can cause crashes,Open
SEMGREP-007,ERROR,bacnet-unsafe-byte-parsing,src/main/java/com/bacnet/emulator/service/BacnetService.java,161,CWE-125: Out-of-bounds Read,Unsafe byte array parsing in BACnet protocol handler - missing bounds check can cause crashes,Open
SEMGREP-008,ERROR,bacnet-unsafe-byte-parsing,src/main/java/com/bacnet/emulator/service/BacnetService.java,161,CWE-125: Out-of-bounds Read,Unsafe byte array parsing in BACnet protocol handler - missing bounds check can cause crashes,Open
SEMGREP-009,ERROR,bacnet-unsafe-byte-parsing,src/main/java/com/bacnet/emulator/service/BacnetService.java,161,CWE-125: Out-of-bounds Read,Unsafe byte array parsing in BACnet protocol handler - missing bounds check can cause crashes,Open
SEMGREP-010,WARNING,unsafe-array-access-no-bounds-check,src/main/java/com/bacnet/emulator/service/BacnetService.java,169,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,Array access without bounds checking - potential ArrayIndexOutOfBoundsException or buffer overflow,Open
SEMGREP-011,ERROR,bacnet-unsafe-byte-parsing,src/main/java/com/bacnet/emulator/service/BacnetService.java,169,CWE-125: Out-of-bounds Read,Unsafe byte array parsing in BACnet protocol handler - missing bounds check can cause crashes,Open
SEMGREP-012,WARNING,unsafe-array-access-no-bounds-check,src/main/java/com/bacnet/emulator/service/BacnetService.java,170,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,Array access without bounds checking - potential ArrayIndexOutOfBoundsException or buffer overflow,Open
SEMGREP-013,ERROR,bacnet-unsafe-byte-parsing,src/main/java/com/bacnet/emulator/service/BacnetService.java,170,CWE-125: Out-of-bounds Read,Unsafe byte array parsing in BACnet protocol handler - missing bounds check can cause crashes,Open
SEMGREP-014,WARNING,unsafe-array-access-no-bounds-check,src/main/java/com/bacnet/emulator/service/BacnetService.java,175,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,Array access without bounds checking - potential ArrayIndexOutOfBoundsException or buffer overflow,Open
